"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"EXP-42","Experts","Define agent finding intake contract","Outcome: automated agents and subagents can create findings that are immediately triageable.

Required contract:

* Finding source: agent/subagent name, run ID if available, scan type
* Finding type: vulnerability, bug, regression, flaky test, docs/config, unknown
* Affected asset: file, route, component, API, package, config, or service
* Evidence: reproduction, stack trace, proof, screenshot, failing test, or scan output
* Impact: user/security/data/business impact
* Suggested owner or domain if known
* Suggested validation step

Acceptance criteria:

* Intake template is documented
* Routing rules are documented
* Example vulnerability and bug findings are included
* Raw notes are explicitly disallowed outside intake","Done",,"High","2901b468-5bfa-45d5-8eac-a565a2173446","Agent Intake & Triage","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:45:29 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,,"Agent Delivery Pipeline","6f9a56a8-608d-4d68-9687-7c4a37370b8d","Intake contract ready",,"b11c6293-4215-4c76-9354-f776a1f0a1ed",2012,,,
"EXP-43","Experts","Define vulnerability finding template","Outcome: security findings have enough detail for exploitability triage and remediation.

Template fields:

* Vulnerability class
* Affected asset and trust boundary
* Attack preconditions
* Exploit path or proof
* Impact and severity rationale
* Data exposure or privilege impact
* Proposed remediation
* Required regression/security validation

Acceptance criteria:

* Template supports agent-created vulnerability issues
* Severity mapping to Linear priority is documented
* Validation expectations are clear before an issue can move to Done","Done",,"High","da8f8557-da9e-4ff7-9fbd-4cf703c91d5e","Security Findings","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:45:32 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,"EXP-42","Security & Vulnerability Response","4e318807-4728-4c60-a754-a6f831d37883","Vulnerability intake template ready",,"76c0a17f-dd03-4b86-9600-7eb77e01e467",2012,,,
"EXP-44","Experts","Define bug finding template","Outcome: bug findings have enough detail for reproduction, assignment, and validation.

Template fields:

* Observed behavior
* Expected behavior
* Reproduction steps
* Affected area
* Environment/context
* Evidence: error, trace, screenshot, failing test, or log
* Suspected cause if known
* Validation steps

Acceptance criteria:

* Template supports agent-created bug issues
* Priority mapping is documented
* Duplicate detection guidance is included","Done",,"High","6eb24583-0f09-4131-bc4c-935c93454d77","Bug Findings","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:45:36 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,"EXP-42","Reliability & Bug Response","06ae64fd-1588-4877-bc7a-c8bd4d4b591d","Bug intake template ready",,"af3424ed-f7fc-465a-8083-324b5ff8d863",2012,,,
"EXP-45","Experts","Define implementation handoff contract","Outcome: a triaged finding can be handed to an agent/subagent for implementation without ambiguity.

Required handoff fields:

* Source finding issue
* Scope of change
* Non-goals
* Expected patch behavior
* Files/modules likely involved if known
* Validation command/check
* Rollback or migration risk
* Required reviewer or validation gate

Acceptance criteria:

* Implementation issue template is documented
* Raw findings are forbidden in this project
* Ownership and handoff rules are clear","Done",,"High","461def7a-1f27-463c-a253-54331812ba4d","Fix Implementation","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:46:26 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,"EXP-42","Agent Delivery Pipeline","7018f46f-0124-4194-90f3-fc46431c1a65","Implementation handoff contract ready",,"76186aa2-d62b-4b00-a570-97255b85fe29",2012,,,
"EXP-46","Experts","Define validation evidence checklist","Outcome: agents cannot mark work Done without evidence.

Checklist must cover:

* Reproduction confirmed or disproven
* Fix validated against original finding
* Regression test or rationale
* Security validation when applicable
* Typecheck/lint/test command output when applicable
* Deployment/release notes when applicable
* Residual risk or follow-up issue if needed

Acceptance criteria:

* Done criteria are explicit
* Security and bug validation paths are separate
* Evidence format is documented","Done",,"High","a48b67cd-9f98-4948-9d54-aaabba70b8c3","Validation & Release Gate","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:46:29 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,"EXP-42","Agent Delivery Pipeline","05bcef42-a12a-4fb4-b140-610534455210","Validation checklist ready",,"359b1d1d-f37e-4ac4-85d4-2e10af4e2681",2012,,,
"EXP-47","Experts","Define agent/subagent runbooks","Outcome: automated agents and subagents have operating guidance for using this Linear pipeline.

Runbooks needed:

* Intake and triage
* Security finding handling
* Bug finding handling
* Implementation handoff
* Validation and closure
* Escalation rules
* Status update/comment conventions

Acceptance criteria:

* Each runbook names required inputs and outputs
* Pipeline routing is unambiguous
* Manual intervention points are documented","Done",,"Medium","85209e8e-5170-43b5-81a6-418388b63096","Agent Knowledge & Runbooks","loooogix@gmail.com","loooogix@gmail.com","",,,,,"Wed May 20 2026 17:46:31 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 21:34:58 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 21:48:27 GMT+0000 (GMT+00:00)",,,,"EXP-42","Agent Delivery Pipeline","42c3c8ab-e509-499f-b5e3-e04c6d792760","Agent runbooks ready",,"59f0f40d-2609-492f-91c0-3096b4871135",2012,,,
"EXP-48","Experts","[bug] runOrphanAttachmentSweep silently skips files with multiple orphaned attachments, deletes R2 object before DB guard","'<!-- agent-fp: 18063f5fd318 -->

## Trigger Scenario

1. An instructor uploads a video and the system creates `File F` + `Attachment A1` (linked via `fileId`). The attachment is connected to a `CourseLessonAsset`.
2. The instructor removes the lesson asset. `A1` loses all scope relations — it is now an orphan candidate.
3. A second `Attachment A2` is created pointing to the same `File F` (e.g., the same file is attached to a second lesson/module, then that scope is also deleted).
4. Both `A1` and `A2` are now orphaned. Both are older than the 24-hour threshold.
5. The cron fires `POST /api/v1/internal/storage-janitor/orphan-sweep`.
6. `findMany` returns both `A1` and `A2` as orphan candidates.

**Processing A1:**

```
deleteMany WHERE file.id = F.fileId
  AND attachments.every { id = A1.id AND scope = none }
```

`A2` does not satisfy `id = A1.id` → Prisma's `every` returns false → `deleteMany` matches 0 rows → skip.

**Processing A2:** symmetric failure — `A1` is still present, fails `id = A2.id` → skip.

Result: neither attachment is ever cleaned up. The sweep runs every 6 hours forever and never converges.

**Secondary vector (R2 / DB divergence):** `deletePublicAsset` (R2 HTTP DELETE) is called *before* the atomic DB check. When the DB guard fails (as above), the R2 object has already been deleted, but the `File` and `Attachment` rows remain. On subsequent sweeps, R2 deletes a non-existent object (no-op) while the DB rows accumulate — permanent state divergence between R2 and the database.

## Root Cause

`storage-janitor.sweeps.ts` — `runOrphanAttachmentSweep`:

```typescript
attachments: {
  every: {
    id: orphan.id,        // ← incorrect: fails when sibling attachments exist
    courseAssets: {none: {}},
    // ...
  },
},
```

Prisma's `every` translates to SQL `NOT EXISTS (... WHERE NOT (condition))`. With two attachments `A1` and `A2`, processing `A1` means `A2` does not satisfy `id = A1.id`, so the `NOT (...)` is true for `A2`, the `NOT EXISTS` is false, and the file is not deleted. The intent was ""re-verify this specific attachment is still orphaned AND no other attachments exist,"" but the `id:` filter achieves neither correctly in the multi-attachment case.

## Suggested Fix

Replace the `every` clause with two separate conditions using `AND`:

```typescript
// Guard 1: the specific orphan attachment is still unscoped (race protection)
attachments: {
  some: {
    id: orphan.id,
    courseAssets: {none: {}},
    courseModuleAssets: {none: {}},
    courseLessonAssets: {none: {}},
    courseExamQuestionAssets: {none: {}},
    courseQuizQuestionAssets: {none: {}},
  },
},
// Guard 2: no other attachments exist on this file
AND: [
  {
    attachments: {
      none: { id: { not: orphan.id } },
    },
  },
],
```

Also consider moving `deletePublicAsset` to *after* the DB atomic check succeeds to prevent R2/DB state divergence on raced/skipped deletes.

## Related Prior Issues

None (first scan — Linear had no prior bug issues).

## Verified by

* `code-reviewer` agent: confirmed, identified secondary R2/DB divergence vector
* `qa-tester` agent: confirmed trigger scenario with concrete DB state
* `db-engineer` agent: confirmed `every` SQL translation, provided corrected query

*Filed by automated bug-finder routine on 2026-05-20T00:00:00Z.*","Done",,"High",,,"loooogix@gmail.com","loooogix@gmail.com","needs-rework, bug",,,,,"Wed May 20 2026 19:07:09 GMT+0000 (GMT+00:00)","Tue May 26 2026 09:17:14 GMT+0000 (GMT+00:00)","Thu May 21 2026 05:51:39 GMT+0000 (GMT+00:00)",,"Fri May 22 2026 00:43:17 GMT+0000 (GMT+00:00)",,,,,"",,,,"c0f49121-8f1d-46e6-a61a-b56a3cc72f04",14903,"EXP-51, EXP-50, EXP-58, EXP-131",,
"EXP-49","Experts","[bug] runStorageJanitorSweep unbounded findMany in Next.js app process risks OOM-crashing production server","'<!-- agent-fp: 197d47660102 -->

## Trigger Scenario

1. A bug in the upload handler (or a client retry storm) causes 100 000+ `File` rows to be created with `status: ""pending""` and never transitioned to `ready`. These accumulate over hours or days.
2. PR #337 / commit `9a24959c` migrates the pending-file sweep from an isolated BullMQ worker process into the Next.js app server via `POST /api/v1/internal/storage-janitor/sweep` (cron, every 5 min).
3. The cron fires. `runStorageJanitorSweep` calls:

```typescript
const pendingFiles = await prisma.file.findMany({
  where: { status: ""pending"", createdAt: { lt: cutoff } },
  select: { id: true, key: true },
  // NO take/limit
});
```

4. Prisma buffers all 100 000 rows in the Rust query engine, then deserializes them into a JS array. At \~400 bytes/row (V8 overhead) + Prisma wire buffer, this is **\~80–160 MB** peak for 100K rows.
5. A 1 GB VPS running Next.js already has \~300–400 MB baseline usage. Adding 160 MB from the sweep (more if a second concurrent sweep fires 5 min later with no lock) pushes the process past the V8 heap limit.
6. Node.js OOM-kills the process. The entire Next.js app crashes, dropping all in-flight user requests. Process restarts, cron fires again in 5 minutes, cycle repeats — the app cannot stay up while the backlog exists.

**Concurrency amplifier:** There is no mutex or DB advisory lock on the sweep. If one sweep takes longer than 5 minutes (serial R2 HTTP + DB delete loop: \~150 ms/file × 10K files ≈ 25 minutes), a second sweep starts with its own full unbounded `findMany`, doubling heap consumption.

**Isolation regression:** Previously this ran in `Dockerfile.worker` (an isolated process — an OOM would crash only the worker, which BullMQ restarts automatically). Moving it into the app process converts a contained failure into a complete service outage.

## Root Cause

`storage-janitor.sweeps.ts` — `runStorageJanitorSweep`: the `findMany` has no `take:` limit. `runOrphanAttachmentSweep` (the new sibling function in the same commit) correctly uses `take: ORPHAN_SWEEP_BATCH_SIZE`, but the existing pending sweep was not updated when it was moved into the app process.

## Suggested Fix

**Minimal (1 line):** Add a `take` limit and `orderBy` for deterministic forward progress:

```typescript
const pendingFiles = await prisma.file.findMany({
  where: { status: ""pending"", createdAt: { lt: cutoff } },
  select: { id: true, key: true },
  take: Number(process.env.STORAGE_JANITOR_PENDING_BATCH_SIZE ?? 200),
  orderBy: { createdAt: ""asc"" },   // oldest-first ensures forward progress
});
```

**Hardening:** Add a module-level in-process lock (sufficient for single-instance Docker):

```typescript
let sweepRunning = false;
export async function runStorageJanitorSweep(...) {
  if (sweepRunning) return { cleaned: 0 };
  sweepRunning = true;
  try { /* ... */ } finally { sweepRunning = false; }
}
```

**Optional throughput improvement:** Replace the serial per-file R2 delete loop with a batched S3 `deleteObjects` call (up to 1000 keys per request), reducing 200 HTTP calls to 1 and cutting sweep duration from \~30 s to \~1–2 s per batch.

## Related Prior Issues

None (first scan — Linear had no prior bug issues).

## Verified by

* `code-reviewer` agent: confirmed, identified isolation regression
* `qa-tester` agent: confirmed trigger scenario and memory math
* `performance-engineer` agent: quantified OOM threshold (\~75–150K rows on 1 GB VPS), confirmed no concurrency guard

*Filed by automated bug-finder routine on 2026-05-20T00:00:00Z.*","Done",,"High",,,"loooogix@gmail.com","loooogix@gmail.com","needs-rework, bug",,,,,"Wed May 20 2026 19:07:34 GMT+0000 (GMT+00:00)","Sun May 31 2026 21:13:28 GMT+0000 (GMT+00:00)","Thu May 21 2026 05:51:41 GMT+0000 (GMT+00:00)",,"Thu May 21 2026 20:04:10 GMT+0000 (GMT+00:00)",,,,,"",,,,"9f32d682-e147-4fa6-a348-beef08703f99",15111,"EXP-242, EXP-51, EXP-50, EXP-58, EXP-125",,
"EXP-50","Experts","[bug] handleCourseLessonAssetCreate links foreign attachments without ownership check (IDOR)","'<!-- agent-fp: fc9c31c29e7a -->

## Trigger Scenario

1. **Setup**: Course A (instructor: Alice) and Course B (instructor: Bob) both exist. Bob uploads a private video; the system creates `File F` + `Attachment ATT-B` (UUID `xxxxxxxx-…`).
2. **Discovery**: Alice learns `ATT-B`'s UUID (via any info-leak, UUID enumeration, or timing side-channel on upload responses).
3. **Exploit**: Alice, with write access to Course A, sends:

   ```
   POST /api/v1/creator/courses/{courseAId}/modules/{moduleId}/lessons/{lessonId}/lesson-assets
   Authorization: Bearer <Alice's valid session>
   { ""kind"": ""video"", ""attachmentId"": ""xxxxxxxx-…"" }
   ```
4. **Result**: `assertCourseWriteAccess` passes (Alice IS an instructor of Course A). Prisma executes `attachment: {connect: {id: ATT-B}}` without any ownership check. A `CourseLessonAsset` is created linking Bob's private file into Alice's lesson. Alice's enrolled students can now access Bob's private video through Alice's course CDN URL.

## Root Cause

`handleCourseLessonAssetCreate` (`apps/experts-app/src/lib/courses/curriculum/lessons/handlers/assets/course-lesson-asset-create.handler.ts`) guards with `assertCourseWriteAccess` for the **target course** but performs no check that the supplied `attachmentId` belongs to the requesting user or the target course. The Prisma `attachment: {connect: {id}}` connects any attachment record regardless of provenance.

```ts
// No ownership check — any attachment UUID is accepted
const xorData = command.data.attachmentId
  ? {attachment: {connect: {id: command.data.attachmentId}}}
  : {url: command.data.url!};
```

## Suggested Fix Sketch

After the lesson existence check, validate attachment ownership before connecting:

```ts
if (command.data.attachmentId) {
  const att = await prisma.attachment.findFirst({
    where: {
      id: command.data.attachmentId,
      file: { uploadedById: userId },  // verify uploader
    },
    select: { id: true },
  });
  if (!att) return { error: ""Attachment not found or access denied"", status: 403 };
}
```

Alternatively, scope the check to attachments whose backing file is associated with the target course.

## Related prior issues

None. Distinct from [EXP-48](https://linear.app/experts/issue/EXP-48/bug-runorphanattachmentsweep-silently-skips-files-with-multiple) (orphan sweep) and [EXP-49](https://linear.app/experts/issue/EXP-49/bug-runstoragejanitorsweep-unbounded-findmany-in-nextjs-app-process) (OOM sweep).

## Verified by

code-reviewer agent (independent review of `course-lesson-asset-create.handler.ts`, commit `9a402ffc`)

*Filed by automated bug-finder routine on 2026-05-20T20:00:00Z.*","Done",,"High",,,"loooogix@gmail.com","loooogix@gmail.com","bug",,,,,"Wed May 20 2026 19:38:18 GMT+0000 (GMT+00:00)","Thu May 21 2026 20:44:20 GMT+0000 (GMT+00:00)","Wed May 20 2026 22:37:02 GMT+0000 (GMT+00:00)",,"Thu May 21 2026 01:11:05 GMT+0000 (GMT+00:00)",,,,,"",,,,"817d1962-0dd6-44fb-8ca0-1d933c6c5d4c",16244,"EXP-48, EXP-49, EXP-56",,
"EXP-51","Experts","[bug] runStorageJanitorSweep deletes R2 object before atomic DB guard — TOCTOU corrupts ready files","'<!-- agent-fp: 9a8cca3642bf -->

## Trigger Scenario

1. **Setup**: A user uploads a large file (e.g., 500 MB video). The flow creates a `File` row with `status: ""pending""`, `createdAt = T₀`. The client begins a direct R2 multipart upload via presigned URL.
2. **At T₀ + 5 min + ε**: The Docker cron sidecar fires `POST /api/v1/internal/storage-janitor/sweep`. The sweep's `findMany` snapshots this file (status=pending, createdAt < cutoff) into `pendingFiles`.
3. **Race window**: At T₀ + 5 min + 2ε, the client finishes the upload. The upload-confirm endpoint sets `File.status = ""ready""` in the DB.
4. **Sweep processes the file**: Calls `deletePublicAsset({key: file.key})` — **R2 object deleted**.
5. **Atomic DB guard fires**: `prisma.file.deleteMany({where: {id: file.id, status: ""pending""}})` — the row now has `status: ""ready""`, so `deleteMany` matches **0 rows**. The sweep emits `storage-janitor.sweep.skip-raced` and continues.
6. **Silent corruption**: The `File` row persists with `status: ""ready""` pointing to a non-existent R2 key. Every CDN request for that file returns 404. Any `CourseLessonAsset` or other content referencing this file silently serves a broken asset. No error is raised; `cleaned` is not incremented; no alert fires.

## Root Cause

`runStorageJanitorSweep` (`apps/experts-app/src/workers/storage-janitor/storage-janitor.sweeps.ts`) deletes the R2 object **before** the atomic DB guard:

```ts
await deletePublicAsset({key: file.key}).catch(...); // ← R2 gone
const deleted = await prisma.file.deleteMany({
  where: {id: file.id, status: ""pending""},           // ← only skips DB row
});
if (deleted.count === 0) { continue; }               // ← R2 already deleted!
```

The DB guard correctly refuses to delete a row whose status has transitioned to ""ready"", but cannot reverse the R2 deletion.

This is **distinct from**:

* [EXP-48](https://linear.app/experts/issue/EXP-48/bug-runorphanattachmentsweep-silently-skips-files-with-multiple): Affects `runOrphanAttachmentSweep`; the `every:{id}` guard issue. Same R2-before-DB pattern, different function and preconditions.
* [EXP-49](https://linear.app/experts/issue/EXP-49/bug-runstoragejanitorsweep-unbounded-findmany-in-nextjs-app-process): Affects `runStorageJanitorSweep` but is the unbounded-`findMany` OOM issue. This TOCTOU exists independently of result-set size.

## Suggested Fix Sketch

Swap delete order — DB first, R2 only on confirmed DB deletion:

```ts
const deleted = await prisma.file.deleteMany({
  where: { id: file.id, status: ""pending"" },
});
if (deleted.count === 0) {
  observe(""storage-janitor.sweep.skip-raced"", { fileId: file.id }, { level: ""info"" });
  continue;
}
// Safe to delete R2 now — DB row is gone
await deletePublicAsset({ key: file.key }).catch(...);
cleaned++;
```

The same fix is recommended for `runOrphanAttachmentSweep` ([EXP-48](https://linear.app/experts/issue/EXP-48/bug-runorphanattachmentsweep-silently-skips-files-with-multiple)).

## Related prior issues

[EXP-48](https://linear.app/experts/issue/EXP-48/bug-runorphanattachmentsweep-silently-skips-files-with-multiple) (same R2-before-DB pattern in `runOrphanAttachmentSweep`), [EXP-49](https://linear.app/experts/issue/EXP-49/bug-runstoragejanitorsweep-unbounded-findmany-in-nextjs-app-process) (OOM in same function, `runStorageJanitorSweep`)

## Verified by

code-reviewer agent (analysis of `storage-janitor.sweeps.ts`, commits `9a24959c`, `0f92f831`)

*Filed by automated bug-finder routine on 2026-05-20T20:00:00Z.*","Done",,"High",,,"loooogix@gmail.com","loooogix@gmail.com","bug",,,,,"Wed May 20 2026 19:38:31 GMT+0000 (GMT+00:00)","Tue May 26 2026 09:17:14 GMT+0000 (GMT+00:00)","Thu May 21 2026 00:49:47 GMT+0000 (GMT+00:00)",,"Thu May 21 2026 01:11:07 GMT+0000 (GMT+00:00)",,,,,"",,,,"165e2fcb-9850-4c03-a843-a77e381092d7",16244,"EXP-48, EXP-49, EXP-58, EXP-76, EXP-131",,
